city,country,weather,weather_desc,temperature,mood
San Diego,United States,Smoke,smoke,72.19,stressed
Miami,United States,Clouds,broken clouds,58.49,calm
Seattle,United States,Dust,dust,51.63,stressed
Houston,United States,Haze,haze,65.94,gloomy
San Jose,United States,Fog,fog,52.28,gloomy
San Antonio,United States,Thunderstorm,thunderstorm,69.8,stressed
Miami,United States,Smoke,smoke,73.13,stressed
San Diego,United States,Mist,mist,60.48,gloomy
New York,United States,Haze,haze,63.45,gloomy
Phoenix,United States,Haze,haze,74.88,gloomy
San Antonio,United States,Snow,light snow,25.33,stressed
Tampa,United States,Snow,light snow,22.95,stressed
Orlando,United States,Thunderstorm,heavy thunderstorm,78.8,stressed
Houston,United States,Clouds,overcast clouds,62.57,calm
San Francisco,United States,Rain,moderate rain,64.1,calm
San Francisco,United States,Clouds,scattered clouds,69.49,neutral
Orlando,United States,Fog,fog,79.67,gloomy
San Jose,United States,Thunderstorm,thunderstorm,70.33,stressed
San Francisco,United States,Clouds,broken clouds,72.28,neutral
Houston,United States,Clear,clear sky,62.45,happy
Atlanta,United States,Fog,fog,68.09,gloomy
Atlanta,United States,Haze,haze,74.25,gloomy
Tampa,United States,Dust,dust,61.27,stressed
Austin,United States,Rain,heavy intensity rain,68.31,calm
Denver,United States,Snow,heavy snow,32.57,calm
Dallas,United States,Smoke,smoke,73.15,stressed
New York,United States,Rain,heavy intensity rain,52.04,sad
Atlanta,United States,Haze,haze,84.71,gloomy
San Francisco,United States,Rain,heavy intensity rain,67.73,calm
Orlando,United States,Drizzle,light drizzle,54.46,sad
Chicago,United States,Dust,dust,53.31,stressed
Los Angeles,United States,Clouds,scattered clouds,59.72,calm
Seattle,United States,Dust,dust,55.22,stressed
Austin,United States,Clouds,scattered clouds,56.65,calm
Boston,United States,Snow,light snow,29.12,stressed
San Antonio,United States,Snow,light snow,31.54,calm
Atlanta,United States,Clouds,scattered clouds,55.41,calm
Dallas,United States,Haze,haze,70.28,gloomy
Los Angeles,United States,Fog,fog,81.12,gloomy
Tampa,United States,Dust,dust,52.18,stressed
Los Angeles,United States,Fog,fog,79.87,gloomy
Orlando,United States,Mist,mist,79.35,gloomy
Miami,United States,Smoke,smoke,69.57,stressed
Austin,United States,Mist,mist,73.29,gloomy
Seattle,United States,Dust,dust,64.05,stressed
Orlando,United States,Drizzle,light drizzle,51.4,sad
Miami,United States,Dust,dust,51.29,stressed
San Diego,United States,Haze,haze,52.31,gloomy
